X,Y,profundidad,pis,ce
751423.3939,1552454.466,4,136,39.81823
751751.7918,1552423.059,3,137,99.31747
751750.8939,1552514.036,4,137,79.79908
751751.7918,1552423.059,4,137,99.31747
751625.4543,1552358.168,8,137,67.01688
751338.3107,1552216.757,59,137,60.90403
751338.3107,1552216.757,60,137,60.90403
751304.0326,1552185.98,6,138,54.77848
751690.4489,1552627.226,11,138,40.18888
751690.4489,1552627.226,12,138,40.18888
751637.3943,1552571.912,57,138,41.66687
751689.6854,1552540.329,57,138,50.76027
751637.3943,1552571.912,58,138,41.66687
751689.6854,1552540.329,58,138,50.76027
751608.4063,1552508.866,5,139,33.72309
